Year,State,Month,Number of Fires,Date Reported
2008,Bahia,September,4.837,1/1/2008
2009,Bahia,September,3.61,1/1/2009
2010,Bahia,September,5.323,1/1/2010
2011,Bahia,September,7.086,1/1/2011
2012,Bahia,September,7.495,1/1/2012
2013,Bahia,September,2.681,1/1/2013
2014,Bahia,September,2.604,1/1/2014
2015,Bahia,September,7.956,1/1/2015
2016,Bahia,September,1.819,1/1/2016
2017,Bahia,September,1.791,1/1/2017
1998,Bahia,October,1.969,1/1/1998
1999,Bahia,October,1.307,1/1/1999
2000,Bahia,October,3.35,1/1/2000
2001,Bahia,October,1.687,1/1/2001
2002,Bahia,October,5.414,1/1/2002
2003,Bahia,October,4.264,1/1/2003
2004,Bahia,October,4.81,1/1/2004
2005,Bahia,October,8.405,1/1/2005
2006,Bahia,October,2.079,1/1/2006
2007,Bahia,October,4.981,1/1/2007
2008,Bahia,October,7.691,1/1/2008
2009,Bahia,October,2.552,1/1/2009
2010,Bahia,October,5.264,1/1/2010
2011,Bahia,October,2.166,1/1/2011
2012,Bahia,October,4.607,1/1/2012
2013,Bahia,October,1.969,1/1/2013
2014,Bahia,October,2.763,1/1/2014
2015,Bahia,October,4.989,1/1/2015
2016,Bahia,October,1.415,1/1/2016
2017,Bahia,October,4.005,1/1/2017
1998,Bahia,November,49,1/1/1998
1999,Bahia,November,49,1/1/1999
2000,Bahia,November,114,1/1/2000
2001,Bahia,November,699,1/1/2001
2002,Bahia,November,1.02,1/1/2002
2003,Bahia,November,533,1/1/2003
2004,Bahia,November,1.736,1/1/2004
2005,Bahia,November,1.595,1/1/2005
2006,Bahia,November,239,1/1/2006
2007,Bahia,November,2.126,1/1/2007
2008,Bahia,November,3.175,1/1/2008
2009,Bahia,November,402,1/1/2009
2010,Bahia,November,605,1/1/2010
2011,Bahia,November,176,1/1/2011
2012,Bahia,November,168,1/1/2012
2013,Bahia,November,288,1/1/2013
2014,Bahia,November,348,1/1/2014
2015,Bahia,November,1.705,1/1/2015
2016,Bahia,November,408,1/1/2016
2017,Bahia,November,174,1/1/2017
1998,Bahia,December,82,1/1/1998
1999,Bahia,December,37,1/1/1999
2000,Bahia,December,24,1/1/2000
2001,Bahia,December,158,1/1/2001
2002,Bahia,December,848,1/1/2002
2003,Bahia,December,710,1/1/2003
2004,Bahia,December,423,1/1/2004
2005,Bahia,December,116,1/1/2005
2006,Bahia,December,169,1/1/2006
2007,Bahia,December,259,1/1/2007
2008,Bahia,December,52,1/1/2008
2009,Bahia,December,308,1/1/2009
2010,Bahia,December,226,1/1/2010
2011,Bahia,December,230,1/1/2011
2012,Bahia,December,477,1/1/2012
2013,Bahia,December,131,1/1/2013
2014,Bahia,December,144,1/1/2014
2015,Bahia,December,1.408,1/1/2015
2016,Bahia,December,164,1/1/2016
1998,Ceará,January,0,1/1/1998
1999,Ceará,January,47,1/1/1999
2000,Ceará,January,1,1/1/2000
2001,Ceará,January,11,1/1/2001
2002,Ceará,January,33,1/1/2002
2003,Ceará,January,264,1/1/2003
2004,Ceará,January,143,1/1/2004
2005,Ceará,January,384,1/1/2005
2006,Ceará,January,211,1/1/2006
2007,Ceará,January,304,1/1/2007
2008,Ceará,January,166,1/1/2008
2009,Ceará,January,347,1/1/2009
2010,Ceará,January,288,1/1/2010
2011,Ceará,January,32,1/1/2011
2012,Ceará,January,273,1/1/2012
2013,Ceará,January,103,1/1/2013
2014,Ceará,January,115,1/1/2014
2015,Ceará,January,207,1/1/2015
2016,Ceará,January,100,1/1/2016
2017,Ceará,January,91,1/1/2017
1998,Ceará,February,0,1/1/1998
1999,Ceará,February,16,1/1/1999
2000,Ceará,February,6,1/1/2000
2001,Ceará,February,0,1/1/2001
2002,Ceará,February,75,1/1/2002
2003,Ceará,February,9,1/1/2003
2004,Ceará,February,5,1/1/2004
2005,Ceará,February,25,1/1/2005
2006,Ceará,February,23,1/1/2006
2007,Ceará,February,3,1/1/2007
2008,Ceará,February,12,1/1/2008
2009,Ceará,February,8,1/1/2009
2010,Ceará,February,63,1/1/2010
2011,Ceará,February,2,1/1/2011
2012,Ceará,February,41,1/1/2012
2013,Ceará,February,49,1/1/2013
2014,Ceará,February,18,1/1/2014
2015,Ceará,February,25,1/1/2015
2016,Ceará,February,13,1/1/2016
2017,Ceará,February,9,1/1/2017
1998,Ceará,March,0,1/1/1998
1999,Ceará,March,30,1/1/1999
2000,Ceará,March,9,1/1/2000
2001,Ceará,March,0,1/1/2001
2002,Ceará,March,17,1/1/2002
2003,Ceará,March,3,1/1/2003
2004,Ceará,March,1,1/1/2004
2005,Ceará,March,5,1/1/2005
2006,Ceará,March,3,1/1/2006
2007,Ceará,March,2,1/1/2007
2008,Ceará,March,2,1/1/2008
2009,Ceará,March,3,1/1/2009
2010,Ceará,March,40,1/1/2010
2011,Ceará,March,6,1/1/2011
2012,Ceará,March,10,1/1/2012
2013,Ceará,March,17,1/1/2013
2014,Ceará,March,6,1/1/2014
2015,Ceará,March,20,1/1/2015
2016,Ceará,March,4,1/1/2016
2017,Ceará,March,4,1/1/2017
1998,Ceará,April,0,1/1/1998
1999,Ceará,April,6,1/1/1999
2000,Ceará,April,15,1/1/2000
2001,Ceará,April,2,1/1/2001
2002,Ceará,April,5,1/1/2002
2003,Ceará,April,3,1/1/2003
2004,Ceará,April,2,1/1/2004
2005,Ceará,April,4,1/1/2005
2006,Ceará,April,1,1/1/2006
2007,Ceará,April,1,1/1/2007
2008,Ceará,April,0,1/1/2008
2009,Ceará,April,0,1/1/2009
2010,Ceará,April,7,1/1/2010
2011,Ceará,April,1,1/1/2011
2012,Ceará,April,2,1/1/2012
2013,Ceará,April,4,1/1/2013
2014,Ceará,April,4,1/1/2014
2015,Ceará,April,3,1/1/2015
2016,Ceará,April,10,1/1/2016
2017,Ceará,April,6,1/1/2017
1998,Ceará,May,0,1/1/1998
1999,Ceará,May,5,1/1/1999
2000,Ceará,May,7,1/1/2000
2001,Ceará,May,81,1/1/2001
2002,Ceará,May,10,1/1/2002
2003,Ceará,May,0,1/1/2003
2004,Ceará,May,3,1/1/2004
2005,Ceará,May,1,1/1/2005
2006,Ceará,May,0,1/1/2006
2007,Ceará,May,0,1/1/2007
2008,Ceará,May,0,1/1/2008
2009,Ceará,May,0,1/1/2009
2010,Ceará,May,2,1/1/2010
2011,Ceará,May,0,1/1/2011
2012,Ceará,May,19,1/1/2012
2013,Ceará,May,4,1/1/2013
2014,Ceará,May,4,1/1/2014
2015,Ceará,May,17,1/1/2015
2016,Ceará,May,8,1/1/2016
2017,Ceará,May,9,1/1/2017
1998,Ceará,June,1,1/1/1998
1999,Ceará,June,16,1/1/1999
2000,Ceará,June,16,1/1/2000
2001,Ceará,June,38,1/1/2001
